"EventType","ID","Classification","Title","Workload","Status","StartTime","LastUpdatedTime","EndTime","ActionType","AffectedTenantCount","Message","MessageType","WorkloadDisplayName","Feature","FeatureDisplayName","PostIncidentDocumentUrl","Severity","ImpactDescription"
"New","SP173204","Advisory","Couldn't edit SharePoint Online 2010 Workflows","SharePoint","Service restored","2/6/2019 3:51:00 PM","2/12/2019 3:46:55 AM","2/11/2019 12:35:00 AM","","11665595","Title: Couldn't edit SharePoint Online 2010 Workflows

User Impact: Users may have been unable to edit SharePoint Online 2010 workflows.

More info: Impact was specific to 2010 workflows previously created in SharePoint Designer.

Final status: The deployment of the fix has completed and our telemetry indicates impact remediation. Additionally, we've worked directly with some affected customers to confirm resolution. 

Scope of impact: This issue will impacted any of your users attempting to edit 2010 SharePoint Online workflows within SharePoint Designer.

Start time: Wednesday, February 6, 2019, at 7:51 AM UTC

End time: Sunday, February 10, 2019, at 4:35 PM UTC

Preliminary root cause: A code regression introduced after a recent SharePoint Online update prevented users from editing 2010 SharePoint Online workflows within SharePoint Designer.

Next steps:
- We're reviewing our monitoring services to look for ways to reduce detection time and more quickly restore service.
- We're reviewing our update procedures to better identify similar issues during our development and testing cycles.

This is the final update for the event.","Incident","SharePoint Online","spofeatures","SharePoint Features","","Sev2","Users may have been unable to edit SharePoint Online 2010 workflows."
"New","LY173214","Incident","Can't sign in","Lync","Service restored","2/7/2019 3:43:00 PM","2/9/2019 12:38:02 AM","2/8/2019 11:30:00 PM","","496919","Title: Can't sign in

User Impact: Newly created users may have been unable to sign in to the Skype for Business service.

Final status: We've restarted the subset of RIDS infrastructure and confirm via our monitoring system that the problem is fixed.

Scope of impact: Impact was specific to a subset of users who were created after February 5th, 2019.

Start time: Thursday, February 7, 2019, at 7:43 AM UTC

End time: Friday, February 8, 2019, at 3:30 PM UTC

Preliminary root cause: A subset of Routing Information Directory Service (RIDS) infrastructure, which handles outstanding provider requests, was performing below acceptable thresholds, resulting in impact.

Next steps:
- We're reviewing configurations within the subset of infrastructure that caused this to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Skype for Business","Sign-In","Sign-In","","Sev2","Newly created users may have been unable to sign in to the Skype for Business service."
"New","LY172944","Incident","Can't make or received calls","Lync","Service restored","2/5/2019 9:30:00 AM","2/8/2019 11:20:01 AM","2/5/2019 2:10:00 PM","","1004945","Title: Can't make or received calls

User Impact: Users may have experienced intermittent outages making and receiving calls via Skype for Business.

Final status: We've completed restarting the affected infrastructure and confirmed mitigation with some of the affected users and via monitoring. 

Scope of impact: This issue could have potentially affected any of your users intermittently if they were routed through the affected infrastructure.

Start time: Tuesday, February 5, 2019, at 1:30 AM UTC

End time: Tuesday, February 5, 2019, at 6:10 AM UTC

Preliminary root cause: An update to the infrastructure facilitating the Skype for Business network had become degraded.

Next steps:
- We?re reviewing our code for improved performance and potential automated recovery options to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Skype for Business","AudioVideo","Audio and Video","","Sev2","Users may have experienced intermittent outages making and receiving calls via Skype for Business."
"New","MO171766","Advisory","Incomplete usage reports","OSDPPlatform","Service restored","1/7/2019 4:00:00 AM","2/8/2019 10:03:45 AM","2/4/2019 8:00:00 AM","","21433476","Title: Incomplete usage reports

User Impact: Usage reports are not showing results past January 4th, 2019.

Current status: As part of our two-part recovery process, we've imported action log data from Microsoft Teams. We?re currently rebuilding our reports based on the action log data from Microsoft Teams to remediate the problem.

Scope of impact: Impact is specific to admins who are served through the affected infrastructure and are viewing service usage reports.

Start time: Sunday, January 6, 2019, at 8:00 PM UTC

Preliminary root cause: A configuration issue caused the infrastructure responsible for storing and processing usage data to become unhealthy.

Next update by: Sunday, February 3, 2019, at 1:30 AM UTC","Incident","Office 365 Portal","Administration","Administration","","Sev2","Usage reports were not showing results past February 2nd, 2019."
"New","TM173200","Advisory","Can't access Microsoft Teams in Google Chrome","microsoftteams","Service restored","2/8/2019 3:43:00 AM","2/8/2019 9:06:01 AM","2/8/2019 5:50:00 AM","","4355807","Title: Can't access Microsoft Teams in Google Chrome

User Impact: Users may be unable to access Microsoft Teams in Google Chrome. 

More Info: This issue also affects users' ability to sign into Microsoft Teams on Mac or iOS devices.

Current status: We're reviewing the certificate associated with the Microsoft Teams sign-in process to determine potential sources of impact. 

Scope of impact: This issue may affect all users attempting to access Microsoft Teams in Google Chrome.

Next update by: Thursday, February 7, 2019, at 11:30 PM UTC","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unable to access Microsoft Teams in Google Chrome. "
"New","LY173198","Advisory","Can't view users in Skype for Business admin center","Lync","Service restored","2/5/2019 4:07:00 AM","2/8/2019 6:12:45 AM","2/8/2019 5:20:00 AM","","8507806","Title: Can't view users in Skype for Business admin center

User Impact: Admins were unable to view users via the Voice tab within the Skype for Business admin center.

More info: Admins were receiving the following error: ""Your request can't be completed right now. Please try again later.""

Final status: We've received confirmation that increasing thresholds has successfully mitigated impact. 

Scope of impact: Some organizations may have been affected by this event. Impact was specific to admins attempting to view users via the Voice tab within the Skype for Business admin center. 

Start time: Monday, February 4, 2019, at 8:07 PM UTC

End time: Thursday, February 7, 2019, at 9:20 PM UTC

Preliminary root cause: Requests made from the Skype for Business admin center were throttled, resulting in impact. 

Next steps:
- We're reviewing our request throttling procedures to find ways to prevent this problem from reoccurring. 

This is the final update for the event.","Incident","Skype for Business","ManagementandProvisioning","Management and Provisioning","","Sev1","Admins were unable to view users via the Voice tab within the Skype for Business admin center."
"New","TM173175","Advisory","Can't see pictures and emojis","microsoftteams","Service restored","2/7/2019 3:30:00 PM","2/8/2019 1:34:59 AM","2/7/2019 11:00:00 PM","","4355806","Title: Can't see pictures and emojis

User Impact: Users may have been unable to see pictures and emojis within the Microsoft Teams service.

Final status: We completed reverting the offending update and cleared the cache of affected URLs to ensure remediation. We've confirmed the issue is now resolved. 

Scope of impact: Impact was specific to some users based in the Western United States.

Start time: Thursday, February 7, 2019, at 7:30 AM UTC

End time: Thursday, February 7, 2019, at 3:00 PM UTC

Preliminary root cause: A recent service update unexpectedly contained a regression, resulting in impact. 

Next steps:
- We're analyzing the update to understand why the regression wasn't detected during our testing phases and how to prevent similar issues in the future. 

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unable to see pictures and emojis within the Microsoft Teams service."
"New","EX173182","Incident","Can't access Outlook on the web","Exchange","Service restored","2/7/2019 7:00:00 PM","2/7/2019 11:52:55 PM","2/7/2019 10:15:00 PM","","953103","Title: Can't access Outlook on the web

User Impact: Users may have been intermittently unable to access Outlook on the web.

More info: While we were focused on remediation, users may have been able to access their mailbox using the Outlook desktop client or mobile app.

Final status: We suspect that a recent update may have caused impact. Before we could take any corrective action, automated recovery systems resolved the issue and service availability recovered to acceptable thresholds.

Scope of impact: Impact was specific to a subset of users who were served through the affected infrastructure.

Start time: Thursday, February 7, 2019, at 11:00 AM UTC

End time: Thursday, February 7, 2019, at 2:15 PM UTC

Preliminary root cause: We suspect that a recent update may have caused impact. We'll continue to investigate diagnostic data to verify the root cause of the issue.

Next steps:
- We're reviewing our update procedures to better identify similar issues during our development and testing cycles.

This is the final update for the event.","Incident","Exchange Online","Access","E-Mail and calendar access","","Sev2","Users may have been intermittently unable to access Outlook on the web."
"New","EX173164","Advisory","Emails in pending state","Exchange","Service restored","2/7/2019 11:45:17 AM","2/7/2019 4:08:57 PM","2/7/2019 2:03:00 PM","","14679481","Title: Emails in pending state

User Impact: Users may notice that sent emails are stuck in a pending state.. 

Current status: We're investigating a potential issue and checking for impact to your organization. We'll provide an update within 30 minutes.","Incident","Exchange Online","Delivery","E-Mail timely delivery","","Sev2","Users may have experienced mail delivery delays, related to an issue with a third-party mail signature service."
"New","TM172961","Advisory","Delays receiving notifications","microsoftteams","Service restored","2/6/2019 1:00:00 AM","2/6/2019 6:56:16 AM","2/6/2019 6:41:00 AM","","4341679","Title: Delays receiving notifications

User Impact: Users may have received delayed message and change notifications within the Shifts tab of Microsoft Teams.

Final status: We've monitored the service and confirmed that the restarts successfully resolved the issue, and that the backlog of requests have been processed. 

Scope of impact: Impact was specific to a subset of users who were served through the affected infrastructure.

Start time: Tuesday, February 5, 2019, at 5:00 PM UTC

End time: Tuesday, February 5, 2019, at 10:41 PM UTC

Preliminary root cause: A portion of infrastructure wasn't processing traffic as efficiently as expected, creating a backlog of requests that resulted in impact.

Next steps:
- We're continuing to analyze the affected infrastructure to identify what caused traffic to stop processing as expected and to prevent similar issues in the future. 

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have received delayed message and change notifications within the Shifts tab of Microsoft Teams."
"New","SP172912","Advisory","Unable to edit the configuration properties of web parts","SharePoint","Service restored","1/26/2019 6:28:00 AM","2/6/2019 6:54:08 AM","2/6/2019 6:40:00 AM","","11612616","Title: Unable to edit the configuration properties of web parts

User Impact: Users were unable to edit the configuration properties of web parts.

More info: Impact was limited to the Classic user interface (UI).

Final status: Our testing was successful and we've applied our update across the affected environment to resolve the issue.

Scope of impact: Any users attempting to edit web part configuration properties may have been impacted.

Start time: Friday, January 25, 2019, at 10:28 PM UTC

End time: Tuesday, February 5, 2019, at 10:40 PM UTC

Preliminary root cause: A client-side script issue was preventing users from editing the configuration properties of web parts.

Next steps:
- We?re reviewing our code for improved performance and to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","SharePoint Online","tenantadmin","Tenant Admin","","Sev2","Users were unable to edit the configuration properties of web parts."
"New","LY172952","Incident","Can't send messages between Skype for Business and Microsoft Teams","Lync","Service restored","2/5/2019 7:30:00 PM","2/6/2019 1:23:53 AM","2/6/2019 12:46:00 AM","","8498077","Title: Can't send messages between Skype for Business and Microsoft Teams

User Impact: Users may have been unable to send messages between Skype for Business and Microsoft Teams.

Final status: We completed rerouting traffic to alternate infrastructure and have confirmed that this action successfully resolved the issue. 

Scope of impact: This issue may have potentially affected any of your users attempting to send messages between Skype for Business and Microsoft Teams.

Start time: Tuesday, February 5, 2019, at 11:30 AM UTC

End time: Tuesday, February 5, 2019, at 4:46 PM UTC

Preliminary root cause: A portion of service infrastructure unexpectedly became degraded, resulting in issues when sending messages between Skype for Business and Microsoft Teams.

Next steps:
- We're continuing to analyze the affected infrastructure to better understand what caused the degradation and to prevent similar issues in the future. 

This is the final update for the event.","Incident","Skype for Business","InstantMessaging","Instant Messaging","","Sev2","Users may have been unable to send messages between Skype for Business and Microsoft Teams."
"New","LY172954","Incident","Can't make calls or join conferences","Lync","Service restored","2/5/2019 11:00:00 PM","2/6/2019 1:15:18 AM","2/6/2019 1:04:58 AM","","8637660","Title: Can't make calls or join conferences

User Impact: Users were unable to make and receive calls or join conference calls.

More info: Impact was predominantly to users leveraging Public Switched Telephone Network (PSTN) when connecting to conference calls; however, connection attempts made outside PSTN may have failed in some scenarios.

Final status: While monitoring the service following the event communicated under LY172785, we detected a brief increase in latency that may have resulted in call failures or degradation to other Skype for Business services. We intervened and applied targeted configuration updates to mitigate any impact, and our telemetry confirms that the service is healthy.

Scope of impact: This issue could have potentially affected any of your users.

Start time: Tuesday, February 5, 2019, at 3:00 PM UTC

End time: Tuesday, February 5, 2019, at 3:15 PM UTC

Preliminary root cause: A recent update to components that facilitate communication between some back-end services leveraged by Skype for Business and Microsoft Teams adversely affected how our service handles calling and conferencing traffic during peak hours.

Next steps:
- We?re continuing to monitor service performance and are reviewing additional potential automated recovery options to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Skype for Business","AudioVideo","Audio and Video","","Sev2","Users were unable to make and receive calls or join conference calls."
"New","TM172951","Incident","Can't send messages between Skype for Business and Microsoft Teams","microsoftteams","Service restored","2/5/2019 7:30:00 PM","2/6/2019 1:15:04 AM","2/6/2019 12:46:00 AM","","4332939","Title: Can't send messages between Skype for Business and Microsoft Teams

User Impact: Users may have been unable to send messages between Skype for Business and Microsoft Teams.

Final status: We completed rerouting traffic to alternate infrastructure and have confirmed that this action successfully resolved the issue. 

Scope of impact: This issue may have potentially affected any of your users attempting to send messages between Skype for Business and Microsoft Teams.

Start time: Tuesday, February 5, 2019, at 11:30 AM UTC

End time: Tuesday, February 5, 2019, at 4:46 PM UTC

Preliminary root cause: A portion of service infrastructure unexpectedly became degraded, resulting in issues when sending messages between Skype for Business and Microsoft Teams.

Next steps:
- We're continuing to analyze the affected infrastructure to better understand what caused the degradation and to prevent similar issues in the future. 

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unable to send messages between Skype for Business and Microsoft Teams."
"New","TM172955","Incident","Can't make calls or join conferences","microsoftteams","Service restored","2/5/2019 11:00:00 PM","2/6/2019 1:07:11 AM","2/6/2019 1:07:11 AM","","4332939","Title: Can't make calls or join conferences

User Impact: Users were unable to make and receive calls or join conference calls.

More info: Impact was predominantly to users leveraging Public Switched Telephone Network (PSTN) when connecting to conference calls; however, connection attempts made outside PSTN may have failed in some scenarios.

Final status: While monitoring the service following the event communicated under LY172785, we detected a brief increase in latency that may have resulted in call failures or degradation to other Skype for Business services. We intervened and applied targeted configuration updates to mitigate any impact, and our telemetry confirms that the service is healthy.

Scope of impact: This issue could have potentially affected any of your users.

Start time: Tuesday, February 5, 2019, at 3:00 PM UTC

End time: Tuesday, February 5, 2019, at 3:15 PM UTC

Preliminary root cause: A recent update to components that facilitate communication between some back-end services leveraged by Skype for Business and Microsoft Teams adversely affected how our service handles calling and conferencing traffic during peak hours.

Next steps:
- We?re continuing to monitor service performance and are reviewing additional potential automated recovery options to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users were unable to make and receive calls or join conference calls."
"New","LY172933","Incident","Can't make or receive calls","Lync","Service restored","2/5/2019 9:30:00 AM","2/5/2019 2:11:12 PM","2/5/2019 12:35:00 PM","","496919","Title: Can't make or receive calls

User Impact: Users may have been unable to make or receive calls via Skype for Business.

More info: Additionally, users may have also be unable to join conference calls.

Final status: We've completed deploying the fix to the affected infrastructure and have confirmed mitigation with some of the affected users and via monitoring.

Scope of impact: Impact was specific to a subset of users who were served through the affected infrastructure.

Start time: Tuesday, February 5, 2019, at 1:30 AM UTC

End time: Tuesday, February 5, 2019, at 4:35 AM UTC

Preliminary root cause: An update to the infrastructure facilitating calling service has caused the service to become degraded.

Next steps:
- We?re reviewing our code for improved performance and potential automated recovery options to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Skype for Business","PSTNCalling","PSTN Calling","","Sev2","Users may have been unable to make or receive calls via Skype for Business."
"New","TM172830","Incident","Microsoft Teams sign-in and out issue","microsoftteams","Service restored","2/1/2019 4:45:00 PM","2/3/2019 12:51:30 PM","2/1/2019 5:53:00 PM","","4293144","Title: Microsoft Teams sign-in and out issue

User Impact: Users may have been unexpectedly signed out or may have been unable to sign in to the Microsoft Teams service.

Final status: We identified that an issue within a subset of networking infrastructure, caused sign in failures and unexpectedly caused users to be signed out. We rerouted traffic to alternate infrastructure which resolved the issue.

Scope of impact: Impact was specific to users within Europe.

Start time: Friday, February 1, 2019, at 8:45 AM UTC

End time: Friday, February 1, 2019, at 9:53 AM UTC

Preliminary root cause: A subset of networking infrastructure, became degraded, affecting sign-in functionality.

Next steps:
- We're analyzing performance data and trends on the affected systems to help prevent this problem from happening again.

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unexpectedly signed out or may have been unable to sign in to the Microsoft Teams service."
"New","SP172728","Advisory","Unable to view Excel web parts in IE 10","SharePoint","Service restored","1/30/2019 6:07:00 PM","1/31/2019 7:43:12 PM","1/31/2019 4:00:00 AM","","11665755","Title: Unable to view Excel web parts in IE 10

User Impact: Users were unable to view Excel web access webparts in classic pages in Internet Explorer (IE) 10.

More info: This issue was specific to users who had compatibility mode enabled. While we were focused on remediation, users were able to access the web parts in other browsers. Users could use IE11 and other browsers.

Final status: We've successfully deployed the fix to the affected infrastructure and conducted further validation to confirm that impact has been remediated.

Scope of impact: This issue could potentially impact any users who used the Classic User Interface (UI) in Internet Explorer 10.

Start time: Sunday, January 27, 2019, at 11:00 AM UTC

End time: Thursday, January 31, 2019, at 3:00 AM UTC

Preliminary root cause: An update intended to log browser properties caused an unexpected mismatch in Internet Explorer 10, affecting Excel web access web parts.

Next steps:
- We're reviewing our update procedures to better identify similar issues during our development and testing cycles.

This is the final update for the event.","Incident","SharePoint Online","officewebapps","Office Web Apps","","Sev2","Users were unable to view Excel web access webparts in classic pages in Internet Explorer (IE) 10."
"New","MO172572","Advisory","Report delays","OSDPPlatform","Service restored","1/23/2019 8:00:00 AM","1/31/2019 10:17:55 AM","1/29/2019 8:00:00 AM","","20718092","Title: Report delays

User Impact: Microsoft 365 reports may show delayed results since January 23rd, 2019.

Final status: We've successfully corrected the configuration issue and have restored the data pipeline to resolve the issue.

Scope of impact: Admins attempting to pull report data may have notice delayed results since January 23rd, 2019.

Start time: Wednesday, January 23, 2019, at 12:00 AM UTC

End time: Tuesday, January 29, 2019, at 12:00 AM UTC

Preliminary root cause: A configuration issue within the Microsoft 365 reports was causing delayed reporting since January 23rd, 2019.

Next steps:
-We're reviewing our update and configuration change process to prevent similar impact from happening in the future.

This is the final update for the event.","Incident","Office 365 Portal","Administration","Administration","","Sev2","Microsoft 365 reports may show delayed results since January 23rd, 2019."
